periodo de referencia,id,NAMEUNIT,meses,precipitaciones
1981-2010,5,Ávila,enero,64.9
1981-2010,5,Ávila,febrero,48.5
1981-2010,5,Ávila,marzo,42.8
1981-2010,5,Ávila,abril,65.9
1981-2010,5,Ávila,mayo,67.2
1981-2010,5,Ávila,junio,31.8
1981-2010,5,Ávila,julio,13.7
1981-2010,5,Ávila,agosto,16.7
1981-2010,5,Ávila,septiembre,38.2
1981-2010,5,Ávila,octubre,86.5
1981-2010,5,Ávila,noviembre,86.2
1981-2010,5,Ávila,diciembre,91.3
1981-2010,5,Ávila,anual,653.7
1981-2010,6,Badajoz,enero,59.1
1981-2010,6,Badajoz,febrero,49.6
1981-2010,6,Badajoz,marzo,36.2
1981-2010,6,Badajoz,abril,54.9
1981-2010,6,Badajoz,mayo,43
1981-2010,6,Badajoz,junio,19.9
1981-2010,6,Badajoz,julio,4.4
1981-2010,6,Badajoz,agosto,6
1981-2010,6,Badajoz,septiembre,29.8
1981-2010,6,Badajoz,octubre,68
1981-2010,6,Badajoz,noviembre,73.9
1981-2010,6,Badajoz,diciembre,80.6
1981-2010,6,Badajoz,anual,525.4
1981-2010,7,Illes Balears,enero,53.2
1981-2010,7,Illes Balears,febrero,46.4
1981-2010,7,Illes Balears,marzo,38
1981-2010,7,Illes Balears,abril,45.3
1981-2010,7,Illes Balears,mayo,39.6
1981-2010,7,Illes Balears,junio,13.9
1981-2010,7,Illes Balears,julio,6.8
1981-2010,7,Illes Balears,agosto,21.8
1981-2010,7,Illes Balears,septiembre,66.1
1981-2010,7,Illes Balears,octubre,80.5
1981-2010,7,Illes Balears,noviembre,83.4
1981-2010,7,Illes Balears,diciembre,70
1981-2010,7,Illes Balears,anual,565
1981-2010,8,Barcelona,enero,43.7
1981-2010,8,Barcelona,febrero,34.3
1981-2010,8,Barcelona,marzo,39.6
1981-2010,8,Barcelona,abril,55.8
1981-2010,8,Barcelona,mayo,69.5
1981-2010,8,Barcelona,junio,51.2
1981-2010,8,Barcelona,julio,33.1
1981-2010,8,Barcelona,agosto,60.4
1981-2010,8,Barcelona,septiembre,75.1
1981-2010,8,Barcelona,octubre,79.4
1981-2010,8,Barcelona,noviembre,59.4
1981-2010,8,Barcelona,diciembre,47.7
1981-2010,8,Barcelona,anual,649.2
1981-2010,46,Bizkaia,enero,137.3
1981-2010,46,Bizkaia,febrero,111.4
1981-2010,46,Bizkaia,marzo,112.4
1981-2010,46,Bizkaia,abril,124.1
1981-2010,46,Bizkaia,mayo,94.8
1981-2010,46,Bizkaia,junio,64
1981-2010,46,Bizkaia,julio,53.9
1981-2010,46,Bizkaia,agosto,72.9
1981-2010,46,Bizkaia,septiembre,82.3
1981-2010,46,Bizkaia,octubre,124.6
1981-2010,46,Bizkaia,noviembre,163.1
1981-2010,46,Bizkaia,diciembre,142.4
1981-2010,46,Bizkaia,anual,1283.2
1981-2010,9,Burgos,enero,58.8
1981-2010,9,Burgos,febrero,47.5
1981-2010,9,Burgos,marzo,45.5
1981-2010,9,Burgos,abril,67.8
1981-2010,9,Burgos,mayo,66.8
1981-2010,9,Burgos,junio,44.2
1981-2010,9,Burgos,julio,27.7
1981-2010,9,Burgos,agosto,26
1981-2010,9,Burgos,septiembre,38.8
1981-2010,9,Burgos,octubre,66.4
1981-2010,9,Burgos,noviembre,72.5
1981-2010,9,Burgos,diciembre,74.2
1981-2010,9,Burgos,anual,636.2
1981-2010,10,Cáceres,enero,78.5
1981-2010,10,Cáceres,febrero,61.4
1981-2010,10,Cáceres,marzo,47.7
1981-2010,10,Cáceres,abril,64.2
1981-2010,10,Cáceres,mayo,58.1
1981-2010,10,Cáceres,junio,22.2
1981-2010,10,Cáceres,julio,6.3
1981-2010,10,Cáceres,agosto,8
1981-2010,10,Cáceres,septiembre,37.4
1981-2010,10,Cáceres,octubre,94.9
1981-2010,10,Cáceres,noviembre,102.1
1981-2010,10,Cáceres,diciembre,109.3
1981-2010,10,Cáceres,anual,690.1
1981-2010,11,Cádiz,enero,106
1981-2010,11,Cádiz,febrero,87.6
1981-2010,11,Cádiz,marzo,58.3
1981-2010,11,Cádiz,abril,64.3
1981-2010,11,Cádiz,mayo,37.2
1981-2010,11,Cádiz,junio,10.1
1981-2010,11,Cádiz,julio,0.8
1981-2010,11,Cádiz,agosto,5.3
1981-2010,11,Cádiz,septiembre,30.4
1981-2010,11,Cádiz,octubre,85.7
1981-2010,11,Cádiz,noviembre,121.7
1981-2010,11,Cádiz,diciembre,154.5
1981-2010,11,Cádiz,anual,761.9
1981-2010,37,Cantabria,enero,125.7
1981-2010,37,Cantabria,febrero,105
1981-2010,37,Cantabria,marzo,107
1981-2010,37,Cantabria,abril,115
1981-2010,37,Cantabria,mayo,97.8
1981-2010,37,Cantabria,junio,62.6
1981-2010,37,Cantabria,julio,49.2
1981-2010,37,Cantabria,agosto,61.7
1981-2010,37,Cantabria,septiembre,74.7
1981-2010,37,Cantabria,octubre,111.3
1981-2010,37,Cantabria,noviembre,153
1981-2010,37,Cantabria,diciembre,130.4
1981-2010,37,Cantabria,anual,1193.4
1981-2010,12,Castelló/Castellón,enero,43.3
1981-2010,12,Castelló/Castellón,febrero,38.4
1981-2010,12,Castelló/Castellón,marzo,35.4
1981-2010,12,Castelló/Castellón,abril,58.1
1981-2010,12,Castelló/Castellón,mayo,60.1
1981-2010,12,Castelló/Castellón,junio,34.6
1981-2010,12,Castelló/Castellón,julio,18
1981-2010,12,Castelló/Castellón,agosto,34.9
1981-2010,12,Castelló/Castellón,septiembre,64.5
1981-2010,12,Castelló/Castellón,octubre,78.4
1981-2010,12,Castelló/Castellón,noviembre,59.1
1981-2010,12,Castelló/Castellón,diciembre,49.2
1981-2010,12,Castelló/Castellón,anual,574
1981-2010,13,Ciudad Real,enero,46.2
1981-2010,13,Ciudad Real,febrero,40.1
1981-2010,13,Ciudad Real,marzo,33.1
1981-2010,13,Ciudad Real,abril,56.7
1981-2010,13,Ciudad Real,mayo,46.3
1981-2010,13,Ciudad Real,junio,24
1981-2010,13,Ciudad Real,julio,5.2
1981-2010,13,Ciudad Real,agosto,7.7
1981-2010,13,Ciudad Real,septiembre,28.3
1981-2010,13,Ciudad Real,octubre,59.7
1981-2010,13,Ciudad Real,noviembre,57.3
1981-2010,13,Ciudad Real,diciembre,71.3
1981-2010,13,Ciudad Real,anual,475.9
1981-2010,14,Córdoba,enero,66.9
1981-2010,14,Córdoba,febrero,55.3
1981-2010,14,Córdoba,marzo,46
1981-2010,14,Córdoba,abril,62
1981-2010,14,Córdoba,mayo,43.4
1981-2010,14,Córdoba,junio,15.4
1981-2010,14,Córdoba,julio,4.3
1981-2010,14,Córdoba,agosto,7
1981-2010,14,Córdoba,septiembre,30.1
1981-2010,14,Córdoba,octubre,73.2
1981-2010,14,Córdoba,noviembre,84.8
1981-2010,14,Córdoba,diciembre,101.1
1981-2010,14,Córdoba,anual,589.5
1981-2010,16,Cuenca,enero,42.9
1981-2010,16,Cuenca,febrero,40.9
1981-2010,16,Cuenca,marzo,36.4
1981-2010,16,Cuenca,abril,58.2
1981-2010,16,Cuenca,mayo,55.9
1981-2010,16,Cuenca,junio,36.9
1981-2010,16,Cuenca,julio,11
1981-2010,16,Cuenca,agosto,17.1
1981-2010,16,Cuenca,septiembre,37
1981-2010,16,Cuenca,octubre,61.6
1981-2010,16,Cuenca,noviembre,56
1981-2010,16,Cuenca,diciembre,61.5
1981-2010,16,Cuenca,anual,515.4
1981-2010,20,Gipuzkoa,enero,154.1
1981-2010,20,Gipuzkoa,febrero,125.5
1981-2010,20,Gipuzkoa,marzo,130.9
1981-2010,20,Gipuzkoa,abril,145.2
1981-2010,20,Gipuzkoa,mayo,115.7
1981-2010,20,Gipuzkoa,junio,79.9
1981-2010,20,Gipuzkoa,julio,66.9
1981-2010,20,Gipuzkoa,agosto,86.2
1981-2010,20,Gipuzkoa,septiembre,94.6
1981-2010,20,Gipuzkoa,octubre,140.3
1981-2010,20,Gipuzkoa,noviembre,178.8
1981-2010,20,Gipuzkoa,diciembre,161.4
1981-2010,20,Gipuzkoa,anual,1479.5
1981-2010,17,Girona,enero,62.6
1981-2010,17,Girona,febrero,50.9
1981-2010,17,Girona,marzo,53.9
1981-2010,17,Girona,abril,73.7
1981-2010,17,Girona,mayo,86.1
1981-2010,17,Girona,junio,64.7
1981-2010,17,Girona,julio,42.4
1981-2010,17,Girona,agosto,60.9
1981-2010,17,Girona,septiembre,75.4
1981-2010,17,Girona,octubre,98.1
1981-2010,17,Girona,noviembre,75.2
1981-2010,17,Girona,diciembre,65.8
1981-2010,17,Girona,anual,809.7
1981-2010,18,Granada,enero,52.4
1981-2010,18,Granada,febrero,49.7
1981-2010,18,Granada,marzo,40.2
1981-2010,18,Granada,abril,44
1981-2010,18,Granada,mayo,38.4
1981-2010,18,Granada,junio,17.3
1981-2010,18,Granada,julio,3.6
1981-2010,18,Granada,agosto,7.7
1981-2010,18,Granada,septiembre,27.4
1981-2010,18,Granada,octubre,46.7
1981-2010,18,Granada,noviembre,65.8
1981-2010,18,Granada,diciembre,72.2
1981-2010,18,Granada,anual,465.4
1981-2010,19,Guadalajara,enero,43
1981-2010,19,Guadalajara,febrero,37.8
1981-2010,19,Guadalajara,marzo,33.7
1981-2010,19,Guadalajara,abril,62.8
1981-2010,19,Guadalajara,mayo,67.1
1981-2010,19,Guadalajara,junio,40.2
1981-2010,19,Guadalajara,julio,18.3
1981-2010,19,Guadalajara,agosto,18.3
1981-2010,19,Guadalajara,septiembre,37.4
1981-2010,19,Guadalajara,octubre,65.2
1981-2010,19,Guadalajara,noviembre,59.8
1981-2010,19,Guadalajara,diciembre,59.9
1981-2010,19,Guadalajara,anual,543.5
1981-2010,21,Huelva,enero,83.3
1981-2010,21,Huelva,febrero,61.6
1981-2010,21,Huelva,marzo,47.7
1981-2010,21,Huelva,abril,67
1981-2010,21,Huelva,mayo,40.7
1981-2010,21,Huelva,junio,13.9
1981-2010,21,Huelva,julio,3.1
1981-2010,21,Huelva,agosto,7.1
1981-2010,21,Huelva,septiembre,33.6
1981-2010,21,Huelva,octubre,87.5
1981-2010,21,Huelva,noviembre,101.3
1981-2010,21,Huelva,diciembre,126.6
1981-2010,21,Huelva,anual,673.4
1981-2010,22,Huesca,enero,48.7
1981-2010,22,Huesca,febrero,37.4
1981-2010,22,Huesca,marzo,41.3
1981-2010,22,Huesca,abril,75.5
1981-2010,22,Huesca,mayo,76.8
1981-2010,22,Huesca,junio,53.7
1981-2010,22,Huesca,julio,37.5
1981-2010,22,Huesca,agosto,46.1
1981-2010,22,Huesca,septiembre,68.8
1981-2010,22,Huesca,octubre,83
1981-2010,22,Huesca,noviembre,73.6
1981-2010,22,Huesca,diciembre,65.8
1981-2010,22,Huesca,anual,708.2
1981-2010,23,Jaén,enero,62.3
1981-2010,23,Jaén,febrero,59.1
1981-2010,23,Jaén,marzo,49.8
1981-2010,23,Jaén,abril,66.3
1981-2010,23,Jaén,mayo,50.5
1981-2010,23,Jaén,junio,22
1981-2010,23,Jaén,julio,4.3
1981-2010,23,Jaén,agosto,8.5
1981-2010,23,Jaén,septiembre,33
1981-2010,23,Jaén,octubre,63.2
1981-2010,23,Jaén,noviembre,76.5
1981-2010,23,Jaén,diciembre,91.3
1981-2010,23,Jaén,anual,586.8
1981-2010,26,La Rioja,enero,43.5
1981-2010,26,La Rioja,febrero,36
1981-2010,26,La Rioja,marzo,37.8
1981-2010,26,La Rioja,abril,62.3
1981-2010,26,La Rioja,mayo,68.9
1981-2010,26,La Rioja,junio,48.7
1981-2010,26,La Rioja,julio,31.7
1981-2010,26,La Rioja,agosto,27.5
1981-2010,26,La Rioja,septiembre,33.5
1981-2010,26,La Rioja,octubre,52.2
1981-2010,26,La Rioja,noviembre,55.4
1981-2010,26,La Rioja,diciembre,53.3
1981-2010,26,La Rioja,anual,550.8
1981-2010,24,León,enero,83.2
1981-2010,24,León,febrero,65.9
1981-2010,24,León,marzo,61.4
1981-2010,24,León,abril,72.3
1981-2010,24,León,mayo,74.2
1981-2010,24,León,junio,42.7
1981-2010,24,León,julio,25.3
1981-2010,24,León,agosto,27.8
1981-2010,24,León,septiembre,52.7
1981-2010,24,León,octubre,100.3
1981-2010,24,León,noviembre,101.4
1981-2010,24,León,diciembre,109.2
1981-2010,24,León,anual,816.4
1981-2010,25,Lleida,enero,37.6
1981-2010,25,Lleida,febrero,25.1
1981-2010,25,Lleida,marzo,33.4
1981-2010,25,Lleida,abril,61.6
1981-2010,25,Lleida,mayo,69.4
1981-2010,25,Lleida,junio,52.8
1981-2010,25,Lleida,julio,33.9
1981-2010,25,Lleida,agosto,51.3
1981-2010,25,Lleida,septiembre,62.5
1981-2010,25,Lleida,octubre,65.7
1981-2010,25,Lleida,noviembre,58
1981-2010,25,Lleida,diciembre,46.6
1981-2010,25,Lleida,anual,597.9
1981-2010,27,Lugo,enero,130.1
1981-2010,27,Lugo,febrero,106.3
1981-2010,27,Lugo,marzo,93.5
1981-2010,27,Lugo,abril,111
1981-2010,27,Lugo,mayo,92.8
1981-2010,27,Lugo,junio,54.3
1981-2010,27,Lugo,julio,36.1
1981-2010,27,Lugo,agosto,40
1981-2010,27,Lugo,septiembre,72.7
1981-2010,27,Lugo,octubre,146
1981-2010,27,Lugo,noviembre,151.3
1981-2010,27,Lugo,diciembre,159.3
1981-2010,27,Lugo,anual,1193.4
1981-2010,28,Madrid,enero,45.3
1981-2010,28,Madrid,febrero,40.2
1981-2010,28,Madrid,marzo,32
1981-2010,28,Madrid,abril,53
1981-2010,28,Madrid,mayo,57.2
1981-2010,28,Madrid,junio,28.1
1981-2010,28,Madrid,julio,11.6
1981-2010,28,Madrid,agosto,12.8
1981-2010,28,Madrid,septiembre,29
1981-2010,28,Madrid,octubre,67.3
1981-2010,28,Madrid,noviembre,68.5
1981-2010,28,Madrid,diciembre,66.2
1981-2010,28,Madrid,anual,511.2
1981-2010,29,Málaga,enero,86.5
1981-2010,29,Málaga,febrero,74.4
1981-2010,29,Málaga,marzo,57.7
1981-2010,29,Málaga,abril,57.3
1981-2010,29,Málaga,mayo,34.2
1981-2010,29,Málaga,junio,9.3
1981-2010,29,Málaga,julio,1
1981-2010,29,Málaga,agosto,6.6
1981-2010,29,Málaga,septiembre,30.7
1981-2010,29,Málaga,octubre,74.9
1981-2010,29,Málaga,noviembre,108.8
1981-2010,29,Málaga,diciembre,123.6
1981-2010,29,Málaga,anual,665
1981-2010,30,Murcia,enero,25.4
1981-2010,30,Murcia,febrero,28.9
1981-2010,30,Murcia,marzo,29.6
1981-2010,30,Murcia,abril,29.3
1981-2010,30,Murcia,mayo,33.1
1981-2010,30,Murcia,junio,18.7
1981-2010,30,Murcia,julio,4.2
1981-2010,30,Murcia,agosto,11
1981-2010,30,Murcia,septiembre,34.8
1981-2010,30,Murcia,octubre,38.5
1981-2010,30,Murcia,noviembre,36.7
1981-2010,30,Murcia,diciembre,26.4
1981-2010,30,Murcia,anual,316.6
1981-2010,31,Navarra,enero,85.8
1981-2010,31,Navarra,febrero,73.8
1981-2010,31,Navarra,marzo,74.4
1981-2010,31,Navarra,abril,98.7
1981-2010,31,Navarra,mayo,79.4
1981-2010,31,Navarra,junio,54.5
1981-2010,31,Navarra,julio,38.9
1981-2010,31,Navarra,agosto,42.7
1981-2010,31,Navarra,septiembre,61.3
1981-2010,31,Navarra,octubre,89
1981-2010,31,Navarra,noviembre,103.8
1981-2010,31,Navarra,diciembre,99.7
1981-2010,31,Navarra,anual,902
1981-2010,32,Ourense,enero,127.7
1981-2010,32,Ourense,febrero,98.4
1981-2010,32,Ourense,marzo,87.2
1981-2010,32,Ourense,abril,99.9
1981-2010,32,Ourense,mayo,87.7
1981-2010,32,Ourense,junio,45.2
1981-2010,32,Ourense,julio,25.8
1981-2010,32,Ourense,agosto,31.1
1981-2010,32,Ourense,septiembre,66.9
1981-2010,32,Ourense,octubre,146.4
1981-2010,32,Ourense,noviembre,145.1
1981-2010,32,Ourense,diciembre,167.9
1981-2010,32,Ourense,anual,1129.3
1981-2010,34,Palencia,enero,54.3
1981-2010,34,Palencia,febrero,40.9
1981-2010,34,Palencia,marzo,35.8
1981-2010,34,Palencia,abril,58.5
1981-2010,34,Palencia,mayo,61.7
1981-2010,34,Palencia,junio,38.1
1981-2010,34,Palencia,julio,21.9
1981-2010,34,Palencia,agosto,23.8
1981-2010,34,Palencia,septiembre,40.7
1981-2010,34,Palencia,octubre,68.9
1981-2010,34,Palencia,noviembre,66.3
1981-2010,34,Palencia,diciembre,71.2
1981-2010,34,Palencia,anual,582.1
1981-2010,35,Pontevedra,enero,191
1981-2010,35,Pontevedra,febrero,148.9
1981-2010,35,Pontevedra,marzo,128.4
1981-2010,35,Pontevedra,abril,139.1
1981-2010,35,Pontevedra,mayo,117.5
1981-2010,35,Pontevedra,junio,58.9
1981-2010,35,Pontevedra,julio,36
1981-2010,35,Pontevedra,agosto,43.5
1981-2010,35,Pontevedra,septiembre,93.8
1981-2010,35,Pontevedra,octubre,212
1981-2010,35,Pontevedra,noviembre,217.2
1981-2010,35,Pontevedra,diciembre,241
1981-2010,35,Pontevedra,anual,1627.3
1981-2010,36,Salamanca,enero,60.5
1981-2010,36,Salamanca,febrero,45.8
1981-2010,36,Salamanca,marzo,39.4
1981-2010,36,Salamanca,abril,59.2
1981-2010,36,Salamanca,mayo,64.1
1981-2010,36,Salamanca,junio,28.6
1981-2010,36,Salamanca,julio,13
1981-2010,36,Salamanca,agosto,14.2
1981-2010,36,Salamanca,septiembre,42.1
1981-2010,36,Salamanca,octubre,80.4
1981-2010,36,Salamanca,noviembre,75.5
1981-2010,36,Salamanca,diciembre,80.2
1981-2010,36,Salamanca,anual,603
1981-2010,38,Segovia,enero,45
1981-2010,38,Segovia,febrero,37.3
1981-2010,38,Segovia,marzo,31.4
1981-2010,38,Segovia,abril,54.7
1981-2010,38,Segovia,mayo,63.6
1981-2010,38,Segovia,junio,35.2
1981-2010,38,Segovia,julio,17
1981-2010,38,Segovia,agosto,19.2
1981-2010,38,Segovia,septiembre,30.1
1981-2010,38,Segovia,octubre,61.1
1981-2010,38,Segovia,noviembre,55.7
1981-2010,38,Segovia,diciembre,55.9
1981-2010,38,Segovia,anual,506.2
1981-2010,39,Sevilla,enero,73.4
1981-2010,39,Sevilla,febrero,57.9
1981-2010,39,Sevilla,marzo,43.9
1981-2010,39,Sevilla,abril,58.4
1981-2010,39,Sevilla,mayo,38.6
1981-2010,39,Sevilla,junio,11.1
1981-2010,39,Sevilla,julio,2
1981-2010,39,Sevilla,agosto,6.1
1981-2010,39,Sevilla,septiembre,26.8
1981-2010,39,Sevilla,octubre,75.6
1981-2010,39,Sevilla,noviembre,93.6
1981-2010,39,Sevilla,diciembre,111.5
1981-2010,39,Sevilla,anual,598.9
1981-2010,40,Soria,enero,42.9
1981-2010,40,Soria,febrero,37.1
1981-2010,40,Soria,marzo,33.3
1981-2010,40,Soria,abril,60.8
1981-2010,40,Soria,mayo,69.7
1981-2010,40,Soria,junio,42.9
1981-2010,40,Soria,julio,25.7
1981-2010,40,Soria,agosto,25.5
1981-2010,40,Soria,septiembre,35.8
1981-2010,40,Soria,octubre,59.8
1981-2010,40,Soria,noviembre,54.1
1981-2010,40,Soria,diciembre,55.5
1981-2010,40,Soria,anual,543.1
1981-2010,41,Tarragona,enero,36.4
1981-2010,41,Tarragona,febrero,29.3
1981-2010,41,Tarragona,marzo,32.6
1981-2010,41,Tarragona,abril,49.2
1981-2010,41,Tarragona,mayo,58.5
1981-2010,41,Tarragona,junio,30.7
1981-2010,41,Tarragona,julio,14.1
1981-2010,41,Tarragona,agosto,32.6
1981-2010,41,Tarragona,septiembre,61.8
1981-2010,41,Tarragona,octubre,78.1
1981-2010,41,Tarragona,noviembre,52.9
1981-2010,41,Tarragona,diciembre,43.6
1981-2010,41,Tarragona,anual,519.8
1981-2010,42,Teruel,enero,28
1981-2010,42,Teruel,febrero,25.3
1981-2010,42,Teruel,marzo,27.4
1981-2010,42,Teruel,abril,47.9
1981-2010,42,Teruel,mayo,63.2
1981-2010,42,Teruel,junio,45.8
1981-2010,42,Teruel,julio,23.4
1981-2010,42,Teruel,agosto,36.6
1981-2010,42,Teruel,septiembre,41.7
1981-2010,42,Teruel,octubre,49.6
1981-2010,42,Teruel,noviembre,37.1
1981-2010,42,Teruel,diciembre,31.9
1981-2010,42,Teruel,anual,457.9
1981-2010,43,Toledo,enero,41.5
1981-2010,43,Toledo,febrero,36.9
1981-2010,43,Toledo,marzo,29.6
1981-2010,43,Toledo,abril,50.8
1981-2010,43,Toledo,mayo,48.8
1981-2010,43,Toledo,junio,24.9
1981-2010,43,Toledo,julio,6.9
1981-2010,43,Toledo,agosto,10
1981-2010,43,Toledo,septiembre,25.5
1981-2010,43,Toledo,octubre,60.8
1981-2010,43,Toledo,noviembre,56.1
1981-2010,43,Toledo,diciembre,64.2
1981-2010,43,Toledo,anual,456
1981-2010,44,València/Valencia,enero,44.7
1981-2010,44,València/Valencia,febrero,39.7
1981-2010,44,València/Valencia,marzo,35.9
1981-2010,44,València/Valencia,abril,50.3
1981-2010,44,València/Valencia,mayo,48.2
1981-2010,44,València/Valencia,junio,27.3
1981-2010,44,València/Valencia,julio,11.2
1981-2010,44,València/Valencia,agosto,19.5
1981-2010,44,València/Valencia,septiembre,60.9
1981-2010,44,València/Valencia,octubre,72.4
1981-2010,44,València/Valencia,noviembre,58.7
1981-2010,44,València/Valencia,diciembre,51.4
1981-2010,44,València/Valencia,anual,520.2
1981-2010,45,Valladolid,enero,37.1
1981-2010,45,Valladolid,febrero,27.3
1981-2010,45,Valladolid,marzo,22.9
1981-2010,45,Valladolid,abril,44.1
1981-2010,45,Valladolid,mayo,51.9
1981-2010,45,Valladolid,junio,29.4
1981-2010,45,Valladolid,julio,14.5
1981-2010,45,Valladolid,agosto,16.6
1981-2010,45,Valladolid,septiembre,29.5
1981-2010,45,Valladolid,octubre,53.2
1981-2010,45,Valladolid,noviembre,48.4
1981-2010,45,Valladolid,diciembre,51.5
1981-2010,45,Valladolid,anual,426.4
1981-2010,47,Zamora,enero,60.4
1981-2010,47,Zamora,febrero,45
1981-2010,47,Zamora,marzo,40.2
1981-2010,47,Zamora,abril,56.4
1981-2010,47,Zamora,mayo,60.1
1981-2010,47,Zamora,junio,30.4
1981-2010,47,Zamora,julio,15.2
1981-2010,47,Zamora,agosto,17.3
1981-2010,47,Zamora,septiembre,39.5
1981-2010,47,Zamora,octubre,78.7
1981-2010,47,Zamora,noviembre,73.1
1981-2010,47,Zamora,diciembre,85.1
1981-2010,47,Zamora,anual,601.4
1981-2010,48,Zaragoza,enero,25.7
1981-2010,48,Zaragoza,febrero,25.1
1981-2010,48,Zaragoza,marzo,23.3
1981-2010,48,Zaragoza,abril,47.8
1981-2010,48,Zaragoza,mayo,53.1
1981-2010,48,Zaragoza,junio,33.7
1981-2010,48,Zaragoza,julio,20.2
1981-2010,48,Zaragoza,agosto,21.9
1981-2010,48,Zaragoza,septiembre,36.6
1981-2010,48,Zaragoza,octubre,44.9
1981-2010,48,Zaragoza,noviembre,37.5
1981-2010,48,Zaragoza,diciembre,31.4
1981-2010,48,Zaragoza,anual,401.2
